   40  NGC5946     na           233.869  -50.660   10.6   137.41  1.42   -5.331   -1.614  0.065  0.064  -0.008    2.9    217  NGC5946   V18               
   41  BH176       ESO224-8     234.781  -50.053   18.9    -6.00 14.00   -4.002   -3.064  0.071  0.067   0.019    2.3    115  ClVDBH176 V18              
   42  NGC5986     na           236.512  -37.786   10.4   101.18  0.43   -4.186   -4.604  0.060  0.059  -0.011    5.6    812  NGC5986   V18               
   43  FSR1716     na           242.625  -53.748    9.5   -33.14  1.01   -4.527   -8.639  0.066  0.064  -0.028    2.3     67  [FSR2007]1716 V18           
   44  PAL14       ARP1         242.752  +14.958   76.5    72.30  0.14   -0.504   -0.461  0.081  0.078   0.167    1.8     61  PAL14     V18               
   45  BH184       LYNGA7       242.765  -55.318    8.0    17.86  0.83   -3.844   -7.039  0.064  0.063  -0.007    2.2    154  ClVDBH184 V18              
   46  NGC6093     M80          244.260  -22.976   10.0    10.93  0.39   -2.931   -5.578  0.061  0.060   0.001    4.3    474  NGC6093   V18               
   47  NGC6121     M4           245.897  -26.526    2.2    71.05  0.08  -12.490  -19.001  0.044  0.044  -0.001    8.6   7526  NGC6121   V18               
   48  NGC6101     na           246.451  -72.202   15.4   366.33  0.32    1.757   -0.223  0.053  0.054   0.005    6.1   1260  NGC6101   V18               
   49  NGC6144     na           246.808  -26.023    8.9   195.74  0.74   -1.767   -2.621  0.062  0.061   0.002    2.0    123  NGC6144   V18               
   50  NGC6139     na           246.918  -38.849   10.1    24.41  0.95   -6.184   -2.648  0.062  0.061   0.006    3.6    426  NGC6139   V18               
   51  TERZAN3     na           247.167  -35.353    8.2  -135.76  0.57   -5.602   -1.690  0.063  0.062   0.006    2.9    365  TERZAN3   V18               
   52  NGC6171     M107         248.133  -13.054    6.4   -34.68  0.19   -1.924   -5.968  0.057  0.056   0.000    4.8   1304  NGC6171   V18               
   53  ESO452-11   1636-283     249.856  -28.399    8.3    16.27  0.48   -1.540   -6.418  0.070  0.068  -0.016    0.9     28  ESO452-11 V18               
   54  NGC6205     M13          250.422  +36.460    7.1  -244.49  0.43   -3.164   -2.588  0.047  0.047   0.011   10.3   3982  NGC6205   V18               
   55  NGC6229     na           251.745  +47.528   30.5  -138.64  0.77   -1.189   -0.436  0.063  0.064   0.007    2.2    123  NGC6229   V18               
   56  NGC6218     M12          251.809  -01.949    4.8   -41.35  0.20   -0.141   -6.802  0.052  0.051   0.019    6.8   3356  NGC6218   V18               
   57  FSR1735     2MASS-GC03   253.044  -47.058   10.8     5.00 10.00   -5.015   -0.141  0.112  0.103  -0.134    0.8     16  [FSR2007]1735 V18            
   58  NGC6235     na           253.355  -22.177   11.5   126.68  0.33   -3.973   -7.624  0.064  0.063   0.009    2.1    168  NGC6235   V18               
   59  NGC6254     M10          254.288  -04.100    4.4    74.02  0.31   -4.759   -6.554  0.049  0.048   0.012    8.2   5285  NGC6254   V18               
   60  NGC6256     na           254.886  -37.121   10.3  -101.37  1.19   -3.664   -1.493  0.068  0.066   0.005    1.9    126  NGC6256   V18               
   61  PAL15       na           254.963  -00.539   45.1    72.27  1.74   -0.580   -0.861  0.076  0.070   0.027    1.8     60  PAL15     V18               
   62  NGC6266     M62          255.303  -30.114    6.8   -73.49  0.70   -5.041   -2.952  0.057  0.057   0.004    6.9   1169  NGC6266   V18               
   63  NGC6273     M19          255.657  -26.268    8.8   145.54  0.59   -3.232    1.669  0.057  0.056   0.010    6.2   1059  NGC6273   V18               
   64  NGC6284     na           256.119  -24.765   15.3    28.26  0.93   -3.196   -2.008  0.065  0.064   0.009    2.5    141  NGC6284   V18               
   65  NGC6287     na           256.288  -22.708    9.4  -294.74  1.65   -4.977   -1.882  0.063  0.062   0.003    2.8    338  NGC6287   V18               
   66  NGC6293     na           257.543  -26.582    9.5  -143.66  0.39    0.890   -4.338  0.064  0.063   0.007    2.4    182  NGC6293   V18               
   67  NGC6304     na           258.634  -29.462    5.9  -108.62  0.39   -4.051   -1.073  0.063  0.063   0.004    2.8    159  NGC6304   V18               
   68  NGC6316     na           259.155  -28.140   10.4    99.81  0.82   -4.945   -4.608  0.066  0.065   0.012    2.5    114  NGC6316   V18               
   69  NGC6341     M92          259.281  +43.136    8.3  -120.48  0.27   -4.925   -0.536  0.052  0.052   0.010    7.4   1847  NGC6341   V18               
   70  NGC6325     na           259.497  -23.766    7.8    29.54  0.58   -8.426   -9.011  0.068  0.067   0.008    1.7    147  NGC6325   V18               
   71  NGC6333     M9           259.797  -18.516    7.9   310.75  2.12   -2.228   -3.214  0.059  0.058   0.009    4.7    526  NGC6333   V18              
   72  NGC6342     na           260.292  -19.587    8.5   116.56  0.74   -2.932   -7.101  0.064  0.064   0.004    2.2    195  NGC6342   V18               
   73  NGC6356     na           260.896  -17.813   15.1    38.93  1.88   -3.814   -3.381  0.060  0.059   0.010    4.7    547  NGC6356   V18               
   74  NGC6355     na           260.994  -26.353    9.2  -194.13  0.83   -4.657   -0.522  0.066  0.065   0.014    1.6     93  NGC6355   V18               
   75  NGC6352     na           261.371  -48.422    5.6  -125.63  1.01   -2.172   -4.398  0.056  0.056   0.003    5.4   2064  NGC6352   V18               
   76  IC1257      na           261.785  -07.093   25.0  -137.97  2.04   -0.928   -1.407  0.087  0.081   0.037    0.8     16  IC1257    V18               
   77  TERZAN2     HP3          261.888  -30.802    7.5   128.96  1.18   -2.237   -6.210  0.081  0.075   0.086    0.8     25  TERZAN2   V18               
   78  NGC6366     na           261.934  -05.080    3.5  -120.65  0.19   -0.363   -5.115  0.053  0.053   0.015    6.2   2226  NGC6366   V18               
   79  TERZAN4     HP4          262.663  -31.596    7.2   -39.93  3.76   -5.386   -3.361  0.088  0.080   0.020    0.6     26  TERZAN4   V18               
   80  BH229       HP1          262.772  -29.982    8.2    40.61  1.29    2.462  -10.142  0.073  0.071  -0.001    1.4     35  ClVDBH229 V18              
   81  NGC6362     na           262.979  -67.048    7.6   -14.58  0.18   -5.510   -4.750  0.051  0.052   0.000    6.5   2877  NGC6362   V18               
   82  NGC6380     TON1         263.617  -39.069   10.9    -6.54  1.48   -2.142   -3.107  0.067  0.066  -0.006    2.1    181  NGC6380   V18               
   83  TERZAN1     HP2          263.949  -30.481    6.7    57.55  1.61   -2.967   -4.811  0.083  0.080   0.026    1.1     65  TERZAN1   V18               
   84  TON2        PISMIS26     264.044  -38.553    8.2  -184.72  1.12   -5.912   -0.548  0.067  0.066   0.013    1.9    116  TON2      V18               
   85  NGC6388     na           264.072  -44.736    9.9    82.85  0.48   -1.331   -2.672  0.057  0.057   0.004    5.6    791  NGC6388   V18               
   86  NGC6402     M14          264.400  -03.246    9.3   -60.71  0.45   -3.640   -5.035  0.058  0.058   0.008    4.8    718  NGC6402   V18               
   87  NGC6401     na           264.652  -23.910   10.6   -99.26  3.18   -2.849    1.476  0.070  0.069  -0.001    2.0     60  NGC6401   V18               
   88  NGC6397     na           265.175  -53.674    2.3    18.39  0.10    3.285  -17.621  0.043  0.043   0.001   11.1  11406  NGC6397   V18               
   89  PAL6        na           265.926  -26.223    5.8   176.28  1.53   -9.256   -5.330  0.078  0.076   0.038    1.3     47  PAL6      V18               
   90  NGC6426     na           266.228  +03.170   20.6  -210.51  0.51   -1.862   -2.994  0.064  0.064   0.019    2.1    144  NGC6426   V18               
   91  DJORG1      na           266.868  -33.066  -99.9  -359.81  1.98   -5.160   -8.324  0.080  0.075  -0.006    0.9     28  DJORG1    V18               
   92  TERZAN5     TERZAN11     267.020  -24.779    6.9   -81.40  1.36   -1.560   -4.724  0.106  0.102   0.072    2.0     59  TERZAN5   V18               
   93  NGC6440     na           267.220  -20.360    8.5   -69.39  0.93   -1.070   -3.828  0.069  0.068   0.025    2.9    154  NGC6440   V18               
   94  NGC6441     na           267.554  -37.051   11.6    17.27  0.93   -2.568   -5.322  0.059  0.059   0.001    6.2    247  NGC6441   V18               
   95  TERZAN6     HP5          267.693  -31.275    6.8   137.15  1.70   -5.634   -7.042  0.186  0.156   0.155    1.1     24  TERZAN6   V18               
   96  NGC6453     na           267.715  -34.599   11.6   -91.16  3.08    0.165   -5.895  0.071  0.070   0.006    1.8     30  NGC6453   V18               
