 #King profile data from Harris 1996 (2010 Edition) and masses with M/L from McLauhglin and van der Marel (else =2)
 # ID      ID2          Mgc(Msun)        rc(pc)           rh(pc).          rt(pc)      
 DJORG1    na           106912.797       1.99258280       6.33641338       63.0114441    
 TERZAN5   TERZAN11     160335.719       0.321140349      1.44513166       13.3873749    
 NGC6440   na           813508.000       0.346156687      1.18682289       14.4302273    
 NGC6441   na           1630152.12       0.438659072      1.92335141       24.1061440    
 TERZAN6   HP5          187512.453       9.89019275E-02  0.870336890       31.2757568    
 NGC6453   na           125559.680       0.168715045      1.48469234       53.3527565    
 UKS1      na           135470.859       0.340338975      0.00000000       42.8465614    
 NGC6496   na           163462.641       3.12268233       3.35277486       15.6504974    
 TERZAN9   na           5260.53711       6.19591363E-02   1.61093748       19.5932503    
 DJORG2    ESO456SC3    108900.547       0.604756236      1.92422414       19.1241264    
 NGC6517   na           330771.000       0.185004756      1.54170644       12.2231493    
 TERZAN10  na           59845.3359       1.51843524       2.61508322       8.53879547    
 NGC6522   na           188357.062       0.111991875      2.23983765       35.4151917    
 NGC6535   na           12804.9199       0.712093830      1.68133259       15.2243233    
 NGC6528   na           133346.672       0.298741937      0.873245776       9.44705486    
 NGC6539   na           441262.312       0.862192094      3.85717535       47.3815575    
 NGC6540   Djorg3       59576.0352       4.62511890E-02   0.00000000       14.6259480    
 NGC6544   na           96760.0234       4.36332002E-02   1.05592346       1.86130309    
 NGC6541   na           412676.375       0.392698795      2.31255937       28.4486465    
 2MSGC01   2MASSGC01    47976.6719       0.890117228      1.72787476       6.30155373    
 ESOnASC06 ESO280SC0    15311.9346       3.73500180       6.53625298       29.6681938    
 NGC6553   na           358767.562       0.925023794      1.79768777       13.3706818    
 2MSGC02   2MASSGC02    15171.5635       0.783943176      0.783943176       6.98690605    
 NGC6558   na           61799.1094       6.45771325E-02   4.62802887       20.4211349    
 IC1276    PAL7         95746.7656       1.58650327       3.73849320       33.9192848    
 TERZAN12  na           7816.81396       1.15889776       1.04719675       4.30571461    
 NGC6569   na           396858.562       1.10973763       2.53654313       22.6579647    
 BH261     AL3          8185.21729       0.756308794      1.03992462       7.56309223    
 GLIMPSE02 na           172.595749       1.11991882       0.00000000       23.9435921    
 NGC6584   na           194295.109       1.02101672       2.86670113       30.1323967    
 NGC6624   na           239589.781       0.137880892      1.88437235       43.6022110    
 NGC6626   M28          300971.094       0.383972108      3.15177178       17.9597893    
 NGC6638   na           129350.297       0.601556301      1.39451683       12.8610544    
 NGC6637   M69          237484.609       0.844738841      2.15024376       20.2639046    
 NGC6642   na           76755.0391       0.235619292      1.72002077       23.0256538    
 NGC6652   na           85632.8281       0.290888011      1.39626217       18.3538113    
 NGC6656   M22          405360.625       1.23801947       3.12762880       29.6988678    
 PAL8      na           27607.7070       2.08508492       2.15955234       70.6526108    
 NGC6681   M70          114694.242       7.85397515E-02   1.85877419       24.8365135    
 GLIMPSE01 na           39905.2656       0.720820367      0.794124186       16.8977718    
 NGC6712   na           182174.719       1.52541673       2.66947937       17.1154881    
 NGC6715   M54          1589398.62       0.693767846      6.32099581       76.0703354    
 NGC6717   PAL9         30905.4043       0.165224388      1.40440714       19.4122162    
 NGC6723   na           238110.000       2.10050225       3.87201023       27.0597954    
 NGC6749   na           77405.1250       1.42476928       2.52781677       8.78506184    
 NGC6752   na           200306.703       0.197803840      2.22238421       62.5561638    
 NGC6760   na           315263.656       0.731874228      2.73376536       32.6918297    
 NGC6779   M56          149174.875       1.20311260       3.00778174       28.8607540    
 TERZAN7   na           17419.2734       3.24980068       5.10682917       27.6603050    
 PAL10     na           35729.7383       1.39015377       1.69907689       5.28521776    
 ARP2      na           22543.9512       9.90008163       14.7253332       75.0999756    
 NGC6809   M55          171939.891       2.82743120       4.44535112       24.0655003    
 TERZAN8   na           18408.9902       7.65035439       7.26783609       30.4566193    
 PAL11     na           101164.930       4.63849974       5.69093323       17.2336712    
 NGC6838   M71          36068.1875       0.733037710      1.94313192       10.3544559    
 NGC6864   M75          465418.469       0.547160327      2.79659724       34.5235100    
 NGC6934   na           155020.344       0.998327613      3.13111854       33.8278046    
 NGC6981   M72          108015.914       2.27474427       4.59893942       36.8920898    
 NGC7006   na           188831.312       2.03737950       5.27321768       52.3687439    
 NGC7078   M15          787826.750       0.423532873      3.02523518       82.5840530    
 NGC7089   M2           661158.688       1.07046771       3.54592466       41.6462135    
 NGC7099   M30          156833.438       0.141371548      2.42687845       44.7060661    
 PAL12     na           10593.2627       0.110537432      9.50622177       105.563522    
 PAL13     na           5508.45801       3.63028193       2.72271156       16.5935917    
 NGC7492   na           34319.5391       6.57930517       8.79790688       34.5287018    
