#  id W_lime e_W_lime g_lime e_g_lime rt_lime e_rt_lime M_lime e_M_lime W_pe e_W_pe eta_pe e_eta_pe log1minB_pe e_log1minB_pe rt_pe e_rt_pe M_pe e_M_pe log_fpe e_log_fpe chi2_king chi2red_king chi2_wil chi2red_wil chi2_lime chi2red_lime chi2_pe chi2red_pe kingtrunc kinghalf wiltrunc wilhalf limehalf e_limehalf pehalf e_pehalf pecore e_pecore  r_tie BGlev min_mass max_mass
    NGC6723    4.179    0.224    2.267    0.144   65.839    9.585     8679.229       86.005    4.358    0.094    0.281    0.015   -2.217    0.245   39.761    4.255     8658.547       87.129   -2.168    0.176  351.306    2.223  292.934    1.854  119.572    0.762  122.274    0.784   30.200    5.145   53.703    4.919    4.681    0.038    4.701    0.036    2.631    0.037     4.208    0.654    0.707    0.816
    NGC6752    8.206    0.080    1.462    0.031   52.360    2.086    37505.702      746.679    7.975    0.097    0.197    0.009   -1.723    0.069   34.472    1.310    36973.292      774.782   -1.915    0.058 1750.063   13.060 3253.576   24.280  838.293    6.303  933.604    7.073   32.211    3.695  119.152    2.243    3.039    0.073    3.019    0.088    0.331    0.016     7.785    0.052    0.550    0.798
    NGC6779    6.813    0.109    1.278    0.177   47.561    7.853     2911.253       49.499    6.962    0.154    0.349    0.015   -0.773    0.109   26.737    1.488     2891.033       46.279   -1.528    0.042 1189.701    8.438 1484.349   10.527  368.347    2.631  307.316    2.211   33.113    4.306  208.930    5.254    4.407    0.086    4.459    0.084    1.142    0.031     1.700    0.175    0.700    0.786
    NGC6809    0.824    0.593    2.641    0.121   56.348    3.695    21126.261      233.981    2.707    0.151    0.229    0.021   -2.606    0.368   34.690    3.140    20885.703      264.348   -2.369    0.412  575.920    5.999  291.276    3.034   97.199    1.023  116.469    1.239   27.542    5.717   38.905    5.702    5.798    0.035    5.843    0.037    4.678    0.158     6.830    0.184    0.600    0.782
    TERZAN8    2.829    1.626    2.000    0.750  115.729   74.574      139.061       14.316    2.847    1.304    0.229    0.150   -4.722    1.957  110.095   36.798      137.985       14.984   -4.776    2.026  114.109    1.108  114.069    1.107  114.137    1.119  114.276    1.131   69.725   16.344  105.289   16.305   16.413    1.416   16.703    1.702   12.987    4.428     0.000    0.903    0.773    0.780
    PAL11    0.274    0.167    0.159    0.064   12.080    0.400      372.733       18.849    1.510    1.592    0.047    0.052   -0.059    0.702   16.029    0.559      365.550       18.201   -3.709    2.424  458.183    1.958  671.712    2.871  293.129    1.258  435.156    1.876   16.418    5.837   29.313    6.009    5.811    0.139    5.809    0.159    7.320    3.577     2.000    2.215    0.831    0.874
    NGC6864    7.610    0.207    1.623    0.156   75.476   21.410      298.579       12.672    7.438    0.213    0.111    0.044   -2.376    0.455   51.119   10.911      296.901       12.518   -2.942    0.786   45.322    1.462   47.812    1.542   32.692    1.090   32.721    1.128   35.481    3.714  128.825    2.951    3.348    0.214    3.379    0.235    0.561    0.050     1.023    0.156    0.779    0.789
    NGC6934    6.231    0.094    1.760    0.128   60.858   11.712      818.686       10.945    5.960    0.078    0.259    0.046   -1.579    0.654   32.843   17.726      807.958       11.194   -1.961    0.650  289.089    3.569  104.402    1.289   58.156    0.727   59.459    0.753   36.308    4.223   83.176    3.642    3.712    0.062    3.718    0.066    1.326    0.033     2.000    0.016    0.781    0.814
    NGC6981    4.562    0.282    2.170    0.185   77.883   15.181     1282.896       22.369    4.735    0.130    0.223    0.076   -2.968    1.368   62.248    5.081     1279.306       17.171   -3.407    1.515  807.862    9.286  251.851    2.895   63.140    0.734   81.275    0.956   39.811    6.155   69.183    5.660    5.435    0.089    5.447    0.067    2.848    0.066     2.253    0.040    0.796    0.821
    NGC7006    4.502    0.240    2.589    0.104  241.866   67.465      320.210        5.232    5.108    0.135    0.371    0.046   -2.477    0.507   74.922   10.762      313.065        4.838   -1.984    0.233 1182.919    4.317  667.498    2.436  322.665    1.182  352.210    1.295   56.234    7.140  144.544    6.760    5.930    0.078    5.916    0.086    2.772    0.071     2.000    0.339    0.778    0.781
    NGC7078    7.534    0.087    1.677    0.040   93.664    6.091    17559.283      247.650    7.189    0.079    0.165    0.028   -2.201    0.235   62.935    6.028    17488.103      252.669   -2.255    0.315 1673.935    6.917 2223.784    9.189 1694.134    7.030 1920.062    8.000   39.562    4.170  163.566    3.477    3.751    0.059    3.644    0.069    0.699    0.031     4.371    0.100    0.714    0.785
    NGC7089    6.267    0.182    2.008    0.084   98.268   10.225    13798.839      385.571    6.288    0.099    0.205    0.009   -2.174    0.372   51.360   11.255    13705.322      369.368   -2.233    0.195  504.934    8.416  420.977    7.016   67.335    1.141   47.617    0.821   42.658    4.782  117.490    4.143    3.485    0.087    3.491    0.081    1.147    0.076     4.190    0.024    0.740    0.811
    NGC7099    8.369    0.121    1.405    0.054   49.368    3.637     6152.992      152.055    8.264    0.148    0.199    0.021   -1.619    0.156   32.636    2.665     6084.802      165.737   -1.922    0.133 2181.424   20.013 9516.305   87.306 2396.551   22.190 2348.427   21.948   31.341    3.479  107.902    2.584    3.196    0.107    3.205    0.115    0.309    0.026     3.368    0.021    0.672    0.780
    PAL12    5.287    0.444    1.511    0.375   65.589   19.344      132.594        4.893    5.195    0.412    0.243    0.093   -1.959    0.871   69.403   34.821      137.460        6.562   -2.314    0.893   69.982    1.228   70.170    1.231   71.605    1.279   96.662    1.757   47.463    7.754  111.697    7.916    7.680    0.367    8.012    0.548    3.618    0.212     2.000    0.066    0.886    0.918
    NGC7492    1.279    0.888    1.643    0.560   51.891   18.352      123.865        7.040    0.909    1.358    0.199    0.111   -1.806    0.819   32.842    3.721      120.146        6.006   -1.347    1.703 8581.524  119.188 8605.861  119.526 2623.215   36.947 2589.392   36.991   44.668   11.452   60.256   11.240   12.007    0.518   11.576    0.434   11.443    4.554     2.000    0.018    0.769    0.776
