#  id W_lime e_W_lime g_lime e_g_lime rt_lime e_rt_lime M_lime e_M_lime W_pe e_W_pe eta_pe e_eta_pe log1minB_pe e_log1minB_pe rt_pe e_rt_pe M_pe e_M_pe log_fpe e_log_fpe chi2_king chi2red_king chi2_wil chi2red_wil chi2_lime chi2red_lime chi2_pe chi2red_pe kingtrunc kinghalf wiltrunc wilhalf limehalf e_limehalf pehalf e_pehalf pecore e_pecore  r_tie BGlev min_mass max_mass
    NGC5272    7.455    0.083    1.526    0.036  121.274    4.544    14413.134      286.547    7.223    0.092    0.204    0.008   -1.746    0.070   79.918    2.973    14274.080      282.108   -2.055    0.064 1101.261   25.029  427.965    9.726   47.286    1.100   38.908    0.926   91.201    9.615  177.828    4.892    6.705    0.144    6.640    0.134    1.293    0.066     5.710    0.010    0.726    0.814 
    NGC5286    6.348    0.124    2.135    0.072  167.517   33.165     5085.380       92.991    6.480    0.065    0.209    0.020   -3.037    0.406  102.289   14.678     5002.879       72.450   -2.481    0.313  615.963    3.520  396.132    2.264  172.113    0.989  199.782    1.155   24.547    3.117   75.858    3.101    3.529    0.052    3.567    0.049    1.052    0.018     2.801    0.281    0.734    0.795
    NGC5466    3.820    0.751    2.605    0.277  351.526  133.051      959.659       30.403    5.008    0.214    0.255    0.134   -3.092    1.826  191.724   22.131      949.613       30.002   -4.727    1.885   86.826    2.554   64.442    1.895   31.199    0.945   37.219    1.163   63.096   13.885  107.152   13.849   14.470    0.444   14.638    0.404    7.162    0.493     2.853    0.006    0.761    0.791
    NGC5634    7.866    0.088    1.059    0.115   52.500    6.728      458.492        9.582    7.881    0.121    0.165    0.044   -1.557    0.248   44.548    4.288      452.187       10.764   -2.515    0.406 1755.478   19.724 1498.928   16.842  213.383    2.425  244.975    2.816   75.858    8.596  537.032    6.244    5.177    0.188    5.071    0.203    0.773    0.028     1.099    0.048    0.767    0.774
    NGC5694    7.554    0.052    1.059    0.186   39.225    9.070      358.010        8.089    7.525    0.111    0.289    0.062   -1.013    0.320   28.313    2.815      350.719        4.908   -1.684    0.623 1350.644    5.772  315.537    1.348  195.551    0.839  192.767    0.831   51.286    5.407  338.844    4.732    3.946    0.110    3.899    0.058    0.721    0.027     0.951    0.333    0.769    0.773
    ic4499    4.861    0.562    1.998    0.351  149.661   50.009      605.962       20.821    4.881    0.298    0.173    0.101   -3.070    1.744  140.280   26.087      604.800       20.392   -3.287    1.595   43.565    0.822   41.927    0.791   39.565    0.761   39.267    0.770   81.283   12.567  181.970   12.517   12.084    0.331   12.132    0.354    6.098    0.429     2.015    0.030    0.766    0.781
    NGC5824    7.637    0.074    1.885    0.050  228.952   43.354     1914.301       29.584    7.452    0.040    0.086    0.028   -5.303    0.710  369.416   62.924     1899.153       31.100   -4.072    0.753  506.793    2.460  272.085    1.321  243.405    1.187  279.259    1.369   52.481    5.691  478.630    5.150    4.626    0.127    4.565    0.154    0.667    0.016     2.000    0.221    0.769    0.774
    NGC5897    2.269    0.687    2.038    0.274   63.281    7.880     3331.671       38.746    2.457    0.250    0.248    0.041   -1.816    0.485   40.535    5.815     3314.751       38.483   -1.825    0.419  105.289    1.269   96.012    1.157   73.072    0.891   70.906    0.875   43.652    9.786   69.183    9.750    9.710    0.098    9.743    0.082    8.613    0.509     4.031    0.140    0.731    0.774
    NGC5904    7.244    0.173    1.501    0.092   82.620    7.297    22944.987      798.129    6.991    0.160    0.214    0.009   -1.685    0.098   56.827    2.603    22708.942      689.877   -2.044    0.058  375.375    9.384  381.281    9.532  118.409    3.036   89.037    2.343   48.978    5.208  107.152    4.380    5.040    0.152    5.012    0.129    1.131    0.093     6.826    0.007    0.684    0.827
    NGC5986    2.872    0.444    2.678    0.119   61.900    7.826     1516.233       28.175    4.057    0.199    0.216    0.048   -2.754    0.576   29.938    3.386     1504.054       27.074   -3.016    0.685  493.437    2.263  316.174    1.450  195.563    0.901  222.322    1.029   26.303    3.967   46.774    3.674    3.419    0.051    3.457    0.054    2.104    0.064     1.887    0.136    0.725    0.802
