     t      	     M      	     rh     	     rc     	     rJ     	     rv     	     x      	     y      
+0.00000e+00	+8.00000e+03	+3.01470e+00	+1.20588e+00	+2.83616e+01	+3.91911e+00	+1.00000e+04	+0.00000e+00
+1.00000e+00	+7.99914e+03	+3.01423e+00	+1.20544e+00	+2.83639e+01	+3.91849e+00	+9.99794e+03	+2.49027e+02
+2.00000e+00	+7.99827e+03	+3.01376e+00	+1.20499e+00	+2.83730e+01	+3.91788e+00	+9.99177e+03	+4.97952e+02
+3.00000e+00	+7.99741e+03	+3.01329e+00	+1.20455e+00	+2.83889e+01	+3.91727e+00	+9.98148e+03	+7.46673e+02
+4.00000e+00	+7.99655e+03	+3.01281e+00	+1.20411e+00	+2.84114e+01	+3.91666e+00	+9.96710e+03	+9.95086e+02
+5.00000e+00	+7.99569e+03	+3.01235e+00	+1.20367e+00	+2.84407e+01	+3.91605e+00	+9.94863e+03	+1.24309e+03
+6.00000e+00	+7.99483e+03	+3.01188e+00	+1.20322e+00	+2.84767e+01	+3.91544e+00	+9.92610e+03	+1.49059e+03
+7.00000e+00	+7.99397e+03	+3.01141e+00	+1.20278e+00	+2.85192e+01	+3.91483e+00	+9.89952e+03	+1.73748e+03
+8.00000e+00	+7.99312e+03	+3.01094e+00	+1.20234e+00	+2.85684e+01	+3.91422e+00	+9.86893e+03	+1.98367e+03
+9.00000e+00	+7.99227e+03	+3.01047e+00	+1.20190e+00	+2.86241e+01	+3.91362e+00	+9.83436e+03	+2.22905e+03
+1.00000e+01	+7.99142e+03	+3.01001e+00	+1.20145e+00	+2.86863e+01	+3.91301e+00	+9.79583e+03	+2.47354e+03
+1.10000e+01	+7.99057e+03	+3.00955e+00	+1.20101e+00	+2.87550e+01	+3.91241e+00	+9.75339e+03	+2.71705e+03
+1.20000e+01	+7.98973e+03	+3.00908e+00	+1.20057e+00	+2.88300e+01	+3.91181e+00	+9.70709e+03	+2.95947e+03
+1.30000e+01	+7.98889e+03	+3.00862e+00	+1.20013e+00	+2.89112e+01	+3.91121e+00	+9.65696e+03	+3.20073e+03
+1.40000e+01	+7.98806e+03	+3.00816e+00	+1.19968e+00	+2.89987e+01	+3.91061e+00	+9.60305e+03	+3.44074e+03
+1.50000e+01	+7.98722e+03	+3.00771e+00	+1.19924e+00	+2.90924e+01	+3.91002e+00	+9.54541e+03	+3.67941e+03
+1.60000e+01	+7.98640e+03	+3.00725e+00	+1.19880e+00	+2.91921e+01	+3.90943e+00	+9.48411e+03	+3.91667e+03
+1.70000e+01	+7.98558e+03	+3.00680e+00	+1.19836e+00	+2.92977e+01	+3.90884e+00	+9.41919e+03	+4.15243e+03
+1.80000e+01	+7.98476e+03	+3.00635e+00	+1.19792e+00	+2.94092e+01	+3.90825e+00	+9.35071e+03	+4.38663e+03
+1.90000e+01	+7.98395e+03	+3.00590e+00	+1.19747e+00	+2.95265e+01	+3.90767e+00	+9.27874e+03	+4.61918e+03
+2.00000e+01	+7.98314e+03	+3.00545e+00	+1.19703e+00	+2.96494e+01	+3.90709e+00	+9.20333e+03	+4.85003e+03
+2.10000e+01	+7.98234e+03	+3.00501e+00	+1.19659e+00	+2.97779e+01	+3.90651e+00	+9.12456e+03	+5.07911e+03
+2.20000e+01	+7.98155e+03	+3.00456e+00	+1.19615e+00	+2.99119e+01	+3.90593e+00	+9.04249e+03	+5.30635e+03
+2.30000e+01	+7.98076e+03	+3.00413e+00	+1.19571e+00	+3.00512e+01	+3.90536e+00	+8.95719e+03	+5.53169e+03
+2.40000e+01	+7.97997e+03	+3.00369e+00	+1.19526e+00	+3.01958e+01	+3.90479e+00	+8.86873e+03	+5.75508e+03
+2.50000e+01	+7.97919e+03	+3.00325e+00	+1.19482e+00	+3.03455e+01	+3.90423e+00	+8.77717e+03	+5.97647e+03
+2.60000e+01	+7.97842e+03	+3.00282e+00	+1.19438e+00	+3.05002e+01	+3.90367e+00	+8.68260e+03	+6.19579e+03
+2.70000e+01	+7.97766e+03	+3.00239e+00	+1.19394e+00	+3.06598e+01	+3.90311e+00	+8.58508e+03	+6.41302e+03
+2.80000e+01	+7.97690e+03	+3.00197e+00	+1.19350e+00	+3.08241e+01	+3.90256e+00	+8.48469e+03	+6.62810e+03
+2.90000e+01	+7.97615e+03	+3.00154e+00	+1.19305e+00	+3.09932e+01	+3.90201e+00	+8.38150e+03	+6.84100e+03
+3.00000e+01	+7.97540e+03	+3.00112e+00	+1.19261e+00	+3.11667e+01	+3.90146e+00	+8.27558e+03	+7.05167e+03
+3.10000e+01	+7.97466e+03	+3.00071e+00	+1.19217e+00	+3.13448e+01	+3.90092e+00	+8.16701e+03	+7.26008e+03
+3.20000e+01	+7.97393e+03	+3.00029e+00	+1.19173e+00	+3.15271e+01	+3.90038e+00	+8.05586e+03	+7.46619e+03
+3.30000e+01	+7.97320e+03	+2.99988e+00	+1.19129e+00	+3.17136e+01	+3.89985e+00	+7.94221e+03	+7.66999e+03
+3.40000e+01	+7.97249e+03	+2.99947e+00	+1.19085e+00	+3.19041e+01	+3.89931e+00	+7.82612e+03	+7.87144e+03
+3.50000e+01	+7.97177e+03	+2.99907e+00	+1.19041e+00	+3.20987e+01	+3.89879e+00	+7.70768e+03	+8.07052e+03
+3.60000e+01	+7.97107e+03	+2.99867e+00	+1.18996e+00	+3.22970e+01	+3.89827e+00	+7.58696e+03	+8.26721e+03
+3.70000e+01	+7.97037e+03	+2.99827e+00	+1.18952e+00	+3.24991e+01	+3.89775e+00	+7.46403e+03	+8.46149e+03
+3.80000e+01	+7.96968e+03	+2.99787e+00	+1.18908e+00	+3.27048e+01	+3.89723e+00	+7.33895e+03	+8.65335e+03
+3.90000e+01	+7.96900e+03	+2.99748e+00	+1.18864e+00	+3.29140e+01	+3.89672e+00	+7.21181e+03	+8.84276e+03
+4.00000e+01	+7.96832e+03	+2.99709e+00	+1.18820e+00	+3.31265e+01	+3.89622e+00	+7.08266e+03	+9.02973e+03
+4.10000e+01	+7.96765e+03	+2.99670e+00	+1.18776e+00	+3.33424e+01	+3.89572e+00	+6.95159e+03	+9.21423e+03
+4.20000e+01	+7.96699e+03	+2.99632e+00	+1.18732e+00	+3.35613e+01	+3.89522e+00	+6.81865e+03	+9.39627e+03
+4.30000e+01	+7.96633e+03	+2.99594e+00	+1.18688e+00	+3.37833e+01	+3.89472e+00	+6.68392e+03	+9.57583e+03
+4.40000e+01	+7.96568e+03	+2.99556e+00	+1.18644e+00	+3.40083e+01	+3.89423e+00	+6.54746e+03	+9.75292e+03
+4.50000e+01	+7.96504e+03	+2.99519e+00	+1.18599e+00	+3.42361e+01	+3.89375e+00	+6.40934e+03	+9.92752e+03
+4.60000e+01	+7.96440e+03	+2.99482e+00	+1.18555e+00	+3.44666e+01	+3.89327e+00	+6.26962e+03	+1.00997e+04
+4.70000e+01	+7.96377e+03	+2.99445e+00	+1.18511e+00	+3.46997e+01	+3.89279e+00	+6.12836e+03	+1.02693e+04
+4.80000e+01	+7.96315e+03	+2.99409e+00	+1.18467e+00	+3.49354e+01	+3.89232e+00	+5.98562e+03	+1.04365e+04
+4.90000e+01	+7.96253e+03	+2.99373e+00	+1.18423e+00	+3.51735e+01	+3.89185e+00	+5.84147e+03	+1.06012e+04
+5.00000e+01	+7.96192e+03	+2.99337e+00	+1.18379e+00	+3.54139e+01	+3.89139e+00	+5.69596e+03	+1.07635e+04
+5.10000e+01	+7.96132e+03	+2.99302e+00	+1.18335e+00	+3.56566e+01	+3.89093e+00	+5.54916e+03	+1.09233e+04
+5.20000e+01	+7.96072e+03	+2.99267e+00	+1.18291e+00	+3.59014e+01	+3.89047e+00	+5.40111e+03	+1.10806e+04
+5.30000e+01	+7.96013e+03	+2.99232e+00	+1.18247e+00	+3.61483e+01	+3.89002e+00	+5.25187e+03	+1.12355e+04
+5.40000e+01	+7.95955e+03	+2.99198e+00	+1.18203e+00	+3.63971e+01	+3.88957e+00	+5.10150e+03	+1.13880e+04
+5.50000e+01	+7.95897e+03	+2.99163e+00	+1.18159e+00	+3.66478e+01	+3.88912e+00	+4.95005e+03	+1.15381e+04
+5.60000e+01	+7.95840e+03	+2.99130e+00	+1.18115e+00	+3.69003e+01	+3.88868e+00	+4.79756e+03	+1.16858e+04
+5.70000e+01	+7.95783e+03	+2.99096e+00	+1.18071e+00	+3.71545e+01	+3.88825e+00	+4.64410e+03	+1.18310e+04
+5.80000e+01	+7.95727e+03	+2.99063e+00	+1.18027e+00	+3.74104e+01	+3.88782e+00	+4.48970e+03	+1.19740e+04
+5.90000e+01	+7.95672e+03	+2.99030e+00	+1.17983e+00	+3.76678e+01	+3.88739e+00	+4.33442e+03	+1.21145e+04
+6.00000e+01	+7.95617e+03	+2.98997e+00	+1.17939e+00	+3.79267e+01	+3.88696e+00	+4.17831e+03	+1.22527e+04
+6.10000e+01	+7.95563e+03	+2.98965e+00	+1.17895e+00	+3.81869e+01	+3.88654e+00	+4.02140e+03	+1.23886e+04
+6.20000e+01	+7.95510e+03	+2.98933e+00	+1.17851e+00	+3.84485e+01	+3.88612e+00	+3.86374e+03	+1.25222e+04
+6.30000e+01	+7.95457e+03	+2.98901e+00	+1.17807e+00	+3.87114e+01	+3.88571e+00	+3.70537e+03	+1.26535e+04
+6.40000e+01	+7.95404e+03	+2.98869e+00	+1.17763e+00	+3.89755e+01	+3.88530e+00	+3.54633e+03	+1.27825e+04
+6.50000e+01	+7.95352e+03	+2.98838e+00	+1.17719e+00	+3.92407e+01	+3.88489e+00	+3.38667e+03	+1.29093e+04
+6.60000e+01	+7.95301e+03	+2.98807e+00	+1.17675e+00	+3.95069e+01	+3.88449e+00	+3.22643e+03	+1.30338e+04
+6.70000e+01	+7.95250e+03	+2.98776e+00	+1.17631e+00	+3.97742e+01	+3.88409e+00	+3.06563e+03	+1.31561e+04
+6.80000e+01	+7.95200e+03	+2.98746e+00	+1.17587e+00	+4.00423e+01	+3.88370e+00	+2.90433e+03	+1.32762e+04
+6.90000e+01	+7.95150e+03	+2.98716e+00	+1.17543e+00	+4.03114e+01	+3.88331e+00	+2.74254e+03	+1.33941e+04
+7.00000e+01	+7.95101e+03	+2.98686e+00	+1.17499e+00	+4.05812e+01	+3.88292e+00	+2.58031e+03	+1.35099e+04
+7.10000e+01	+7.95052e+03	+2.98656e+00	+1.17455e+00	+4.08519e+01	+3.88253e+00	+2.41768e+03	+1.36235e+04
+7.20000e+01	+7.95004e+03	+2.98627e+00	+1.17412e+00	+4.11232e+01	+3.88215e+00	+2.25467e+03	+1.37350e+04
+7.30000e+01	+7.94957e+03	+2.98598e+00	+1.17368e+00	+4.13952e+01	+3.88177e+00	+2.09131e+03	+1.38444e+04
+7.40000e+01	+7.94909e+03	+2.98569e+00	+1.17324e+00	+4.16678e+01	+3.88140e+00	+1.92764e+03	+1.39518e+04
+7.50000e+01	+7.94863e+03	+2.98541e+00	+1.17280e+00	+4.19409e+01	+3.88103e+00	+1.76369e+03	+1.40571e+04
+7.60000e+01	+7.94816e+03	+2.98512e+00	+1.17236e+00	+4.22145e+01	+3.88066e+00	+1.59948e+03	+1.41603e+04
+7.70000e+01	+7.94771e+03	+2.98484e+00	+1.17192e+00	+4.24886e+01	+3.88029e+00	+1.43505e+03	+1.42615e+04
+7.80000e+01	+7.94725e+03	+2.98456e+00	+1.17148e+00	+4.27631e+01	+3.87993e+00	+1.27041e+03	+1.43608e+04
+7.90000e+01	+7.94680e+03	+2.98429e+00	+1.17104e+00	+4.30380e+01	+3.87957e+00	+1.10560e+03	+1.44580e+04
+8.00000e+01	+7.94636e+03	+2.98401e+00	+1.17061e+00	+4.33132e+01	+3.87922e+00	+9.40636e+02	+1.45533e+04
+8.10000e+01	+7.94592e+03	+2.98374e+00	+1.17017e+00	+4.35886e+01	+3.87886e+00	+7.75549e+02	+1.46467e+04
+8.20000e+01	+7.94548e+03	+2.98347e+00	+1.16973e+00	+4.38643e+01	+3.87851e+00	+6.10362e+02	+1.47382e+04
+8.30000e+01	+7.94505e+03	+2.98321e+00	+1.16929e+00	+4.41402e+01	+3.87817e+00	+4.45096e+02	+1.48278e+04
+8.40000e+01	+7.94462e+03	+2.98294e+00	+1.16885e+00	+4.44163e+01	+3.87782e+00	+2.79773e+02	+1.49155e+04
+8.50000e+01	+7.94420e+03	+2.98268e+00	+1.16842e+00	+4.46925e+01	+3.87748e+00	+1.14416e+02	+1.50013e+04
+8.60000e+01	+7.94378e+03	+2.98242e+00	+1.16798e+00	+4.49688e+01	+3.87714e+00	-5.09548e+01	+1.50853e+04
+8.70000e+01	+7.94337e+03	+2.98216e+00	+1.16754e+00	+4.52451e+01	+3.87681e+00	-2.16320e+02	+1.51675e+04
+8.80000e+01	+7.94296e+03	+2.98190e+00	+1.16710e+00	+4.55215e+01	+3.87648e+00	-3.81659e+02	+1.52480e+04
+8.90000e+01	+7.94255e+03	+2.98165e+00	+1.16666e+00	+4.57978e+01	+3.87615e+00	-5.46955e+02	+1.53266e+04
+9.00000e+01	+7.94215e+03	+2.98140e+00	+1.16623e+00	+4.60741e+01	+3.87582e+00	-7.12187e+02	+1.54035e+04
+9.10000e+01	+7.94175e+03	+2.98115e+00	+1.16579e+00	+4.63504e+01	+3.87549e+00	-8.77340e+02	+1.54787e+04
+9.20000e+01	+7.94135e+03	+2.98090e+00	+1.16535e+00	+4.66265e+01	+3.87517e+00	-1.04240e+03	+1.55522e+04
+9.30000e+01	+7.94096e+03	+2.98065e+00	+1.16492e+00	+4.69025e+01	+3.87485e+00	-1.20734e+03	+1.56239e+04
+9.40000e+01	+7.94057e+03	+2.98041e+00	+1.16448e+00	+4.71784e+01	+3.87453e+00	-1.37215e+03	+1.56940e+04
+9.50000e+01	+7.94018e+03	+2.98017e+00	+1.16404e+00	+4.74540e+01	+3.87422e+00	-1.53682e+03	+1.57625e+04
+9.60000e+01	+7.93980e+03	+2.97993e+00	+1.16360e+00	+4.77295e+01	+3.87391e+00	-1.70133e+03	+1.58293e+04
+9.70000e+01	+7.93942e+03	+2.97969e+00	+1.16317e+00	+4.80047e+01	+3.87360e+00	-1.86567e+03	+1.58945e+04
+9.80000e+01	+7.93905e+03	+2.97945e+00	+1.16273e+00	+4.82797e+01	+3.87329e+00	-2.02982e+03	+1.59581e+04
+9.90000e+01	+7.93868e+03	+2.97922e+00	+1.16229e+00	+4.85544e+01	+3.87299e+00	-2.19376e+03	+1.60201e+04
+1.00000e+02	+7.93831e+03	+2.97899e+00	+1.16186e+00	+4.88288e+01	+3.87268e+00	-2.35750e+03	+1.60806e+04
+1.01000e+02	+7.93794e+03	+2.97876e+00	+1.16142e+00	+4.91028e+01	+3.87238e+00	-2.52101e+03	+1.61395e+04
+1.02000e+02	+7.93758e+03	+2.97853e+00	+1.16098e+00	+4.93765e+01	+3.87209e+00	-2.68428e+03	+1.61969e+04
+1.03000e+02	+7.93722e+03	+2.97830e+00	+1.16055e+00	+4.96499e+01	+3.87179e+00	-2.84730e+03	+1.62527e+04
+1.04000e+02	+7.93686e+03	+2.97807e+00	+1.16011e+00	+4.99228e+01	+3.87150e+00	-3.01006e+03	+1.63071e+04
+1.05000e+02	+7.93651e+03	+2.97785e+00	+1.15968e+00	+5.01954e+01	+3.87121e+00	-3.17254e+03	+1.63601e+04
+1.06000e+02	+7.93616e+03	+2.97763e+00	+1.15924e+00	+5.04675e+01	+3.87092e+00	-3.33475e+03	+1.64115e+04
+1.07000e+02	+7.93581e+03	+2.97741e+00	+1.15880e+00	+5.07392e+01	+3.87063e+00	-3.49666e+03	+1.64615e+04
+1.08000e+02	+7.93547e+03	+2.97719e+00	+1.15837e+00	+5.10104e+01	+3.87034e+00	-3.65827e+03	+1.65102e+04
+1.09000e+02	+7.93513e+03	+2.97697e+00	+1.15793e+00	+5.12812e+01	+3.87006e+00	-3.81957e+03	+1.65573e+04
+1.10000e+02	+7.93479e+03	+2.97675e+00	+1.15750e+00	+5.15514e+01	+3.86978e+00	-3.98055e+03	+1.66032e+04
+1.11000e+02	+7.93445e+03	+2.97654e+00	+1.15706e+00	+5.18212e+01	+3.86950e+00	-4.14120e+03	+1.66476e+04
+1.12000e+02	+7.93412e+03	+2.97633e+00	+1.15662e+00	+5.20904e+01	+3.86922e+00	-4.30151e+03	+1.66907e+04
+1.13000e+02	+7.93379e+03	+2.97612e+00	+1.15619e+00	+5.23591e+01	+3.86895e+00	-4.46147e+03	+1.67324e+04
+1.14000e+02	+7.93346e+03	+2.97591e+00	+1.15575e+00	+5.26272e+01	+3.86868e+00	-4.62109e+03	+1.67728e+04
+1.15000e+02	+7.93313e+03	+2.97570e+00	+1.15532e+00	+5.28948e+01	+3.86841e+00	-4.78034e+03	+1.68119e+04
+1.16000e+02	+7.93281e+03	+2.97549e+00	+1.15488e+00	+5.31618e+01	+3.86814e+00	-4.93922e+03	+1.68497e+04
+1.17000e+02	+7.93249e+03	+2.97528e+00	+1.15445e+00	+5.34282e+01	+3.86787e+00	-5.09772e+03	+1.68862e+04
+1.18000e+02	+7.93217e+03	+2.97508e+00	+1.15401e+00	+5.36940e+01	+3.86760e+00	-5.25585e+03	+1.69215e+04
+1.19000e+02	+7.93185e+03	+2.97488e+00	+1.15358e+00	+5.39592e+01	+3.86734e+00	-5.41358e+03	+1.69554e+04
+1.20000e+02	+7.93154e+03	+2.97467e+00	+1.15314e+00	+5.42238e+01	+3.86708e+00	-5.57092e+03	+1.69882e+04
+1.21000e+02	+7.93123e+03	+2.97447e+00	+1.15271e+00	+5.44877e+01	+3.86682e+00	-5.72785e+03	+1.70197e+04
+1.22000e+02	+7.93092e+03	+2.97428e+00	+1.15228e+00	+5.47510e+01	+3.86656e+00	-5.88438e+03	+1.70501e+04
+1.23000e+02	+7.93061e+03	+2.97408e+00	+1.15184e+00	+5.50136e+01	+3.86630e+00	-6.04050e+03	+1.70792e+04
+1.24000e+02	+7.93031e+03	+2.97388e+00	+1.15141e+00	+5.52755e+01	+3.86605e+00	-6.19620e+03	+1.71071e+04
+1.25000e+02	+7.93001e+03	+2.97369e+00	+1.15097e+00	+5.55368e+01	+3.86579e+00	-6.35147e+03	+1.71339e+04
+1.26000e+02	+7.92971e+03	+2.97349e+00	+1.15054e+00	+5.57974e+01	+3.86554e+00	-6.50632e+03	+1.71595e+04
+1.27000e+02	+7.92941e+03	+2.97330e+00	+1.15010e+00	+5.60573e+01	+3.86529e+00	-6.66073e+03	+1.71840e+04
+1.28000e+02	+7.92911e+03	+2.97311e+00	+1.14967e+00	+5.63165e+01	+3.86504e+00	-6.81471e+03	+1.72073e+04
+1.29000e+02	+7.92882e+03	+2.97292e+00	+1.14924e+00	+5.65750e+01	+3.86479e+00	-6.96824e+03	+1.72296e+04
+1.30000e+02	+7.92853e+03	+2.97273e+00	+1.14880e+00	+5.68327e+01	+3.86455e+00	-7.12132e+03	+1.72507e+04
+1.31000e+02	+7.92824e+03	+2.97254e+00	+1.14837e+00	+5.70898e+01	+3.86430e+00	-7.27396e+03	+1.72707e+04
+1.32000e+02	+7.92795e+03	+2.97236e+00	+1.14794e+00	+5.73461e+01	+3.86406e+00	-7.42613e+03	+1.72896e+04
+1.33000e+02	+7.92766e+03	+2.97217e+00	+1.14750e+00	+5.76016e+01	+3.86382e+00	-7.57785e+03	+1.73075e+04
+1.34000e+02	+7.92738e+03	+2.97199e+00	+1.14707e+00	+5.78564e+01	+3.86358e+00	-7.72911e+03	+1.73243e+04
+1.35000e+02	+7.92710e+03	+2.97180e+00	+1.14664e+00	+5.81105e+01	+3.86334e+00	-7.87990e+03	+1.73401e+04
+1.36000e+02	+7.92682e+03	+2.97162e+00	+1.14620e+00	+5.83638e+01	+3.86311e+00	-8.03022e+03	+1.73548e+04
+1.37000e+02	+7.92654e+03	+2.97144e+00	+1.14577e+00	+5.86163e+01	+3.86287e+00	-8.18007e+03	+1.73686e+04
+1.38000e+02	+7.92626e+03	+2.97126e+00	+1.14534e+00	+5.88680e+01	+3.86264e+00	-8.32944e+03	+1.73813e+04
+1.39000e+02	+7.92599e+03	+2.97108e+00	+1.14490e+00	+5.91190e+01	+3.86240e+00	-8.47833e+03	+1.73930e+04
+1.40000e+02	+7.92572e+03	+2.97090e+00	+1.14447e+00	+5.93692e+01	+3.86217e+00	-8.62674e+03	+1.74037e+04
+1.41000e+02	+7.92544e+03	+2.97072e+00	+1.14404e+00	+5.96186e+01	+3.86194e+00	-8.77467e+03	+1.74134e+04
+1.42000e+02	+7.92517e+03	+2.97055e+00	+1.14361e+00	+5.98672e+01	+3.86171e+00	-8.92210e+03	+1.74222e+04
+1.43000e+02	+7.92491e+03	+2.97037e+00	+1.14317e+00	+6.01150e+01	+3.86149e+00	-9.06905e+03	+1.74300e+04
+1.44000e+02	+7.92464e+03	+2.97020e+00	+1.14274e+00	+6.03620e+01	+3.86126e+00	-9.21551e+03	+1.74369e+04
+1.45000e+02	+7.92438e+03	+2.97003e+00	+1.14231e+00	+6.06082e+01	+3.86103e+00	-9.36147e+03	+1.74428e+04
+1.46000e+02	+7.92411e+03	+2.96985e+00	+1.14188e+00	+6.08535e+01	+3.86081e+00	-9.50693e+03	+1.74478e+04
+1.47000e+02	+7.92385e+03	+2.96968e+00	+1.14145e+00	+6.10981e+01	+3.86059e+00	-9.65190e+03	+1.74519e+04
+1.48000e+02	+7.92359e+03	+2.96951e+00	+1.14101e+00	+6.13418e+01	+3.86037e+00	-9.79636e+03	+1.74551e+04
+1.49000e+02	+7.92333e+03	+2.96934e+00	+1.14058e+00	+6.15847e+01	+3.86015e+00	-9.94032e+03	+1.74574e+04
+1.50000e+02	+7.92308e+03	+2.96918e+00	+1.14015e+00	+6.18268e+01	+3.85993e+00	-1.00838e+04	+1.74588e+04
+1.51000e+02	+7.92282e+03	+2.96901e+00	+1.13972e+00	+6.20680e+01	+3.85971e+00	-1.02267e+04	+1.74593e+04
+1.52000e+02	+7.92257e+03	+2.96884e+00	+1.13929e+00	+6.23085e+01	+3.85949e+00	-1.03692e+04	+1.74590e+04
+1.53000e+02	+7.92232e+03	+2.96868e+00	+1.13886e+00	+6.25480e+01	+3.85928e+00	-1.05111e+04	+1.74578e+04
+1.54000e+02	+7.92207e+03	+2.96851e+00	+1.13843e+00	+6.27868e+01	+3.85907e+00	-1.06525e+04	+1.74557e+04
+1.55000e+02	+7.92182e+03	+2.96835e+00	+1.13799e+00	+6.30246e+01	+3.85885e+00	-1.07934e+04	+1.74528e+04
+1.56000e+02	+7.92157e+03	+2.96818e+00	+1.13756e+00	+6.32617e+01	+3.85864e+00	-1.09338e+04	+1.74491e+04
+1.57000e+02	+7.92132e+03	+2.96802e+00	+1.13713e+00	+6.34979e+01	+3.85843e+00	-1.10737e+04	+1.74446e+04
+1.58000e+02	+7.92108e+03	+2.96786e+00	+1.13670e+00	+6.37332e+01	+3.85822e+00	-1.12130e+04	+1.74392e+04
+1.59000e+02	+7.92083e+03	+2.96770e+00	+1.13627e+00	+6.39677e+01	+3.85801e+00	-1.13519e+04	+1.74330e+04
+1.60000e+02	+7.92059e+03	+2.96754e+00	+1.13584e+00	+6.42013e+01	+3.85780e+00	-1.14902e+04	+1.74261e+04
+1.61000e+02	+7.92035e+03	+2.96738e+00	+1.13541e+00	+6.44340e+01	+3.85760e+00	-1.16280e+04	+1.74183e+04
+1.62000e+02	+7.92011e+03	+2.96722e+00	+1.13498e+00	+6.46659e+01	+3.85739e+00	-1.17653e+04	+1.74098e+04
+1.63000e+02	+7.91987e+03	+2.96707e+00	+1.13455e+00	+6.48970e+01	+3.85719e+00	-1.19020e+04	+1.74005e+04
+1.64000e+02	+7.91963e+03	+2.96691e+00	+1.13412e+00	+6.51271e+01	+3.85698e+00	-1.20383e+04	+1.73904e+04
+1.65000e+02	+7.91940e+03	+2.96675e+00	+1.13369e+00	+6.53564e+01	+3.85678e+00	-1.21740e+04	+1.73796e+04
+1.66000e+02	+7.91916e+03	+2.96660e+00	+1.13326e+00	+6.55848e+01	+3.85658e+00	-1.23092e+04	+1.73680e+04
+1.67000e+02	+7.91893e+03	+2.96644e+00	+1.13283e+00	+6.58124e+01	+3.85638e+00	-1.24438e+04	+1.73557e+04
+1.68000e+02	+7.91870e+03	+2.96629e+00	+1.13240e+00	+6.60391e+01	+3.85618e+00	-1.25780e+04	+1.73426e+04
+1.69000e+02	+7.91847e+03	+2.96614e+00	+1.13197e+00	+6.62649e+01	+3.85598e+00	-1.27116e+04	+1.73288e+04
+1.70000e+02	+7.91824e+03	+2.96598e+00	+1.13154e+00	+6.64898e+01	+3.85578e+00	-1.28447e+04	+1.73143e+04
+1.71000e+02	+7.91801e+03	+2.96583e+00	+1.13111e+00	+6.67139e+01	+3.85558e+00	-1.29772e+04	+1.72991e+04
+1.72000e+02	+7.91778e+03	+2.96568e+00	+1.13068e+00	+6.69371e+01	+3.85539e+00	-1.31092e+04	+1.72832e+04
+1.73000e+02	+7.91755e+03	+2.96553e+00	+1.13025e+00	+6.71594e+01	+3.85519e+00	-1.32407e+04	+1.72666e+04
+1.74000e+02	+7.91733e+03	+2.96538e+00	+1.12983e+00	+6.73808e+01	+3.85500e+00	-1.33717e+04	+1.72493e+04
+1.75000e+02	+7.91710e+03	+2.96523e+00	+1.12940e+00	+6.76013e+01	+3.85480e+00	-1.35021e+04	+1.72313e+04
+1.76000e+02	+7.91688e+03	+2.96509e+00	+1.12897e+00	+6.78210e+01	+3.85461e+00	-1.36320e+04	+1.72126e+04
+1.77000e+02	+7.91666e+03	+2.96494e+00	+1.12854e+00	+6.80398e+01	+3.85442e+00	-1.37614e+04	+1.71933e+04
+1.78000e+02	+7.91644e+03	+2.96479e+00	+1.12811e+00	+6.82576e+01	+3.85423e+00	-1.38902e+04	+1.71733e+04
+1.79000e+02	+7.91622e+03	+2.96464e+00	+1.12768e+00	+6.84746e+01	+3.85404e+00	-1.40186e+04	+1.71527e+04
+1.80000e+02	+7.91600e+03	+2.96450e+00	+1.12725e+00	+6.86908e+01	+3.85385e+00	-1.41463e+04	+1.71314e+04
+1.81000e+02	+7.91578e+03	+2.96435e+00	+1.12683e+00	+6.89060e+01	+3.85366e+00	-1.42736e+04	+1.71094e+04
+1.82000e+02	+7.91556e+03	+2.96421e+00	+1.12640e+00	+6.91203e+01	+3.85347e+00	-1.44003e+04	+1.70868e+04
+1.83000e+02	+7.91535e+03	+2.96407e+00	+1.12597e+00	+6.93338e+01	+3.85329e+00	-1.45265e+04	+1.70636e+04
+1.84000e+02	+7.91513e+03	+2.96392e+00	+1.12554e+00	+6.95464e+01	+3.85310e+00	-1.46522e+04	+1.70398e+04
+1.85000e+02	+7.91492e+03	+2.96378e+00	+1.12511e+00	+6.97581e+01	+3.85291e+00	-1.47773e+04	+1.70153e+04
+1.86000e+02	+7.91470e+03	+2.96364e+00	+1.12469e+00	+6.99689e+01	+3.85273e+00	-1.49019e+04	+1.69903e+04
+1.87000e+02	+7.91449e+03	+2.96350e+00	+1.12426e+00	+7.01788e+01	+3.85255e+00	-1.50259e+04	+1.69646e+04
+1.88000e+02	+7.91428e+03	+2.96336e+00	+1.12383e+00	+7.03878e+01	+3.85236e+00	-1.51495e+04	+1.69383e+04
+1.89000e+02	+7.91407e+03	+2.96322e+00	+1.12340e+00	+7.05959e+01	+3.85218e+00	-1.52725e+04	+1.69114e+04
+1.90000e+02	+7.91386e+03	+2.96308e+00	+1.12298e+00	+7.08032e+01	+3.85200e+00	-1.53949e+04	+1.68840e+04
+1.91000e+02	+7.91365e+03	+2.96294e+00	+1.12255e+00	+7.10095e+01	+3.85182e+00	-1.55169e+04	+1.68559e+04
+1.92000e+02	+7.91344e+03	+2.96280e+00	+1.12212e+00	+7.12150e+01	+3.85164e+00	-1.56383e+04	+1.68273e+04
